xSrcPort,xDstPort,xPkt,xMin_Pbyte0,xMin_Pbyte1,xMax_Pbyte0,xMax_Pbyte1,xIni_Pbyte0,xMax_ConsPkt0,Class
1863,26575,7,86,43,86,88,43,5,
1863,8012,2,69,18,69,69,18,1,
1863,21327,4,86,0,86,86,0,4,
1863,8002,2,75,18,75,75,18,1,
1863,30364,3,95,1129,95,95,1129,1,
1863,51389,3,93,1135,93,93,1136,1,
56321,9070,2,52,52,52,52,52,1,
49752,8000,2,91,835,91,91,835,1,
1863,1173,1,94,0,94,94,0,1,
7000,28056,3,66,76,66,66,76,2,
7000,18696,1,95,0,95,95,0,1,
1863,30011,2,255,135,255,255,135,1,
1863,12352,15,88,323,88,94,1129,3,
1863,1173,2,88,323,88,88,323,1,
1863,30364,2,88,474,88,88,474,1,
1863,51389,2,88,510,88,88,510,1,
1863,1864,6,88,70,88,88,70,1,
1863,1863,1,88,0,88,88,0,1,
1863,9855,1,88,0,88,88,0,1,
1863,1095,3,88,70,88,88,70,1,
1863,26575,1,88,0,88,88,0,1,
56321,9070,2,52,52,52,52,52,1,
7000,7000,1,95,0,95,95,0,1,
56321,9070,2,52,52,52,52,52,1,
1863,2813,639,93,248,95,95,1128,35,
1863,12352,16,94,1129,94,94,1129,5,
56285,9617,6,117,43,117,217,162,3,
7000,28056,2,28,28,28,28,28,1,
1863,1173,1,94,0,94,94,0,1,
53597,3544,2,69,117,69,69,117,1,
7273,7273,3,72,0,72,72,0,3,
1863,18509,1,61,0,61,61,0,1,
1863,55405,1,61,0,61,61,0,1,
1863,21327,1,61,0,61,61,0,1,
1863,18888,2,250,582,250,250,582,1,
55578,8000,2,218,298,218,218,298,1,
1863,30364,8,88,474,95,95,1129,3,
1863,51389,6,88,510,88,93,1135,3,
49752,8000,2,91,835,91,91,835,1,
7000,24976,1,92,0,92,92,0,1,
4024,8000,4,47,55,47,47,119,2,
1863,1864,6,88,70,88,88,70,1,
1863,1863,1,88,0,88,88,0,1,
1863,9855,1,88,0,88,88,0,1,
1863,1095,2,88,393,88,88,393,1,
1863,26575,1,88,0,88,88,0,1,
1863,1092,4,86,0,86,86,0,4,
1863,8008,2,69,18,69,69,18,1,
1863,1863,5,86,87,86,88,87,3,
1863,26666,2,86,0,86,86,0,2,
54825,8000,2,218,274,218,218,274,1,
1863,2813,121,93,388,95,95,1128,16,
1863,1173,9,61,63,94,94,1129,3,
